author	death_year	pd_verdict	first_line	hymn_id	source_url
Elizabeth Cecilia Clephane	1869	public_domain	Beneath the cross of Jesus	bhb-classic-023	https://hymnary.org/text/beneath_the_cross_of_jesus
John Rippon (collection; K. attributed)	1836	public_domain	How firm a foundation, ye saints of the Lord	pd-how-firm-a-foundation	https://hymnary.org/text/how_firm_a_foundation_ye_saints_of
Isaac Watts	1748	public_domain	O God, our help in ages past	pd-o-god-our-help-in-ages-past	https://hymnary.org/text/o_god_our_help_in_ages_past
William Williams	1791	public_domain	Guide me, O Thou great Jehovah	pd-guide-me-o-thou-great-jehovah	https://hymnary.org/text/guide_me_o_thou_great_jehovah
Philip P. Bliss	1876	public_domain	Man of Sorrows! what a name	pd-man-of-sorrows	https://hymnary.org/text/man_of_sorrows_what_a_name
Horatio G. Spafford	1888	public_domain	When peace like a river attendeth my way	pd-it-is-well	https://hymnary.org/text/when_peace_like_a_river_attendeth_my
Joseph M. Scriven	1886	public_domain	What a friend we have in Jesus	pd-what-a-friend	https://hymnary.org/text/what_a_friend_we_have_in_jesus_all_o
Horatius Bonar	1889	public_domain	I heard the voice of Jesus say	pd-i-heard-the-voice	https://hymnary.org/text/i_heard_the_voice_of_jesus_say_come
Robert Lowry	1899	public_domain	What can wash away my sin?	pd-what-can-wash-away-my-sin	https://hymnary.org/text/what_can_wash_away_my_sin
Charles H. Gabriel	1932	public_domain	I stand amazed in the presence	pd-i-stand-amazed-in-the-presence	https://hymnary.org/text/i_stand_amazed_in_the_presence
Horatius Bonar	1889	public_domain	Yet there is room	pd-yet-there-is-room	https://hymnary.org/text/yet_there_is_room_the_lambs_bright
H. Ernest Nichol	1939	public_domain	We've a story to tell to the nations	pd-weve-a-story-to-tell	https://hymnary.org/text/weve_a_story_to_tell_to_the_nations
Helen Howarth Lemmel	1961	excluded_modern	O soul, are you weary and troubled?	pd-turn-your-eyes-upon-jesus	https://hymnary.org/text/o_soul_are_you_weary_and_troubled
Eliza E. Hewitt	1920	public_domain	My faith has found a resting place	pd-my-faith-has-found-a-resting-place	https://hymnary.org/text/my_faith_has_found_a_resting_place
John Newton	1807	public_domain	One there is above all others	pd-one-there-is-above-all-others	https://hymnary.org/text/one_there_is_above_all_others_o_how_he
Charles Wesley	1788	public_domain	Jesus, Lover of my soul	pd-jesus-lover-of-my-soul	https://hymnary.org/text/jesus_lover_of_my_soul_let_me_to
Fanny J. Crosby	1915	public_domain	Blessed assurance, Jesus is mine	pd-blessed-assurance	https://hymnary.org/text/blessed_assurance_jesus_is_mine
Sarah Flower Adams	1848	public_domain	Nearer, my God, to Thee	pd-nearer-my-god-to-thee	https://hymnary.org/text/nearer_my_god_to_thee_nearer_to
Matthew Bridges	1894	public_domain	Crown Him with many crowns	pd-crown-him-with-many-crowns	https://hymnary.org/text/crown_him_with_many_crowns
Robert Robinson	1790	public_domain	Come, Thou Fount of every blessing	pd-come-thou-fount	https://hymnary.org/text/come_thou_fount_of_every_blessing
Thomas O. Chisholm	1960	excluded_modern	Great is Thy faithfulness, O God my Father	pd-great-is-thy-faithfulness	https://hymnary.org/text/great_is_thy_faithfulness_o_god_my_f
Francis Rous / Scottish Psalter	1659	public_domain	The Lord's my Shepherd, I'll not want	pd-the-lords-my-shepherd	https://hymnary.org/text/the_lords_my_shepherd_ill_not_want
Mary Elizabeth Byrne (translator) / Eleanor Hull (versifier)	1935	public_domain	Be Thou my Vision, O Lord of my heart	pd-be-thou-my-vision	https://hymnary.org/text/be_thou_my_vision_o_lord_of_my_heart
Anonymous (Münster Gesangbuch tradition)	1677	public_domain	Fairest Lord Jesus	pd-fairest-lord-jesus	https://hymnary.org/text/fairest_lord_jesus_ruler_of_all_nature
Isaac Watts	1748	public_domain	Jesus shall reign where'er the sun	pd-jesus-shall-reign	https://hymnary.org/text/jesus_shall_reign_whereer_the_sun
James G. Deck	1884	public_domain	Around Thy table, holy Lord	pd-when-i-survey-brethren-table	https://hymnary.org/text/around_thy_table_holy_lord
Thomas Ken	1711	public_domain	Glory to Thee, my God, this night	pd-glory-to-thee-my-god	https://hymnary.org/text/glory_to_thee_my_god_this_night
Hugh Stowell	1865	public_domain	From every stormy wind that blows	pd-from-every-stormy-wind	https://hymnary.org/text/from_every_stormy_wind_that_blows
