chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples
12,2026-09-09T20:45:01.395053,"No, think about a doctor.","No, piensa en un médico.",,369.8,39.1,0.0,411.1,2138.3,1727.2,1.6,0.95,0.0,0.0,1.0,,1.73,,,,1.0,31.9,92.4,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,12,silence,replay_realtime,901.7,489.9,1.7,0.0,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2399232,2482176,48000,2460672,0
13,2026-09-09T20:45:10.568237,What does a doctor long to do when he goes about his profession? He wants to,¿Qué anhela hacer un médico cuando se dedica a su profesión? Él quiere,,143.5,871.0,0.0,1068.0,9047.9,7980.0,0.1,0.99,60.8,0.0,1.0,,4.86,,,Y,0.59,97.8,604.4,ct2-int8,0.6,17,43,61.30312505410984,571.4653329923749,299.5416669873521,stop,0,0.0,,2,en,es,replay,13,smart_cut,replay_realtime,4218.9,3149.6,0.3,48.7,1.2,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2508288,2741760,48000,2741760,0
14,2026-09-09T20:45:11.789833,"Maybe this is too generic, but a doctor longs to heal people.","Quizás esto es demasiado genérico, pero un médico anhela curar a las personas.",,303.2,541.5,0.0,851.2,5438.6,4587.5,5.4,0.99,64.9,0.0,1.0,,4.54,,,,0.62,69.1,130.1,ct2-int8,0.769,20,40,44.05645898077637,215.26583301601931,326.24333299463615,stop,0,0.0,,2,en,es,replay,14,silence,replay_realtime,1344.5,491.4,5.6,0.0,1.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2741760,2959872,48000,2938368,0
15,2026-09-09T20:45:21.277138,And what does a teacher love to do? A teacher loves to teach and bring people to understand,¿Y qué le encanta hacer a un profesor? A un profesor le encanta enseñar y hacer que la gente entienda,,541.0,1060.4,0.0,1605.7,9672.5,8066.8,1.8,1.0,64.9,0.0,1.0,,7.46,,,,0.5,111.2,154.2,ct2-int8,0.5,24,45,62.144917028490454,672.718541987706,387.67408300191164,stop,0,0.0,,2,en,es,replay,15,smart_cut,replay_realtime,2255.8,647.9,2.1,0.1,2.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2992128,3350016,48000,3350016,0
17,2026-09-09T20:45:25.000502,Well what does a savior love to do?,¿Qué le gusta hacer a un salvador?,,390.7,404.5,0.0,817.1,3370.9,2553.8,1.1,0.98,66.7,0.0,1.0,,2.62,,,,1.0,51.4,176.3,ct2-int8,1.0,11,35,44.40337501000613,221.33212501648813,183.14091599313542,stop,0,0.0,,2,en,es,replay,17,silence,replay_realtime,1307.1,489.6,1.2,0.0,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,3469824,3595776,48000,3574272,0
18,2026-09-09T20:45:32.565228,Savior loves to save.,Salvador ama salvar.,,119.2,32.0,0.0,154.1,8029.6,7875.5,0.1,0.97,0.0,0.0,1.0,,2.05,,,,0.25,84.3,170.5,ct2-int8,0.188,,,,,,,,,,2,en,es,replay,18,smart_cut,replay_realtime,6119.9,5965.1,0.4,0.0,0.6,0.4,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,3608064,3706368,48000,3706368,0
19,2026-09-09T20:45:35.829556,And God here is described as the Savior. He loves to save. He he's full of mercy. He's kind.,Y Dios aquí es descrito como el Salvador. Le encanta salvar. Está lleno de misericordia. Es amable.,,170.2,1197.0,0.0,1370.1,9383.1,8013.0,0.2,0.98,49.0,0.0,1.0,,7.74,,,,0.72,122.5,159.3,ct2-int8,0.737,23,53,101.99770901817828,711.2280839937739,485.7324580079876,stop,0,0.0,,2,en,es,replay,19,smart_cut,replay_realtime,1640.2,268.9,0.6,0.0,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,3706368,4078080,48000,4078080,0
20,2026-09-09T20:45:42.990722,"He's slow to anger, abounding in steadfast love. He's not willing that any should perish.","Es lento para la ira, rebosante de amor fiel. No quiere que ninguno perezca.",,153.9,1175.3,0.0,1341.4,8799.9,7458.4,9.5,0.99,54.9,0.0,0.85,,7.42,,,,0.35,38.6,167.9,ct2-int8,0.667,22,49,107.20887500792742,755.6108750286512,419.70679198857397,stop,0,0.0,,2,en,es,replay,20,silence,replay_realtime,1825.3,482.2,9.7,0.3,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,4078080,4434432,48000,4412928,0
21,2026-09-09T20:45:46.375624,But he wants everyone to come to repentance.,Pero quiere que todos vengan al arrepentimiento.,,529.1,386.2,0.0,918.6,4692.6,3774.1,2.1,0.97,68.1,0.0,1.0,,3.78,,,,0.88,40.9,121.1,ct2-int8,0.875,11,35,43.52562496205792,207.51666597789153,178.71762497816235,stop,0,0.0,,2,en,es,replay,21,silence,replay_realtime,1402.2,482.7,2.3,0.0,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,4435968,4617216,48000,4595712,0
22,2026-09-09T20:45:49.582670,He is a savior and he loves to save.,Él es un salvador y le encanta salvar.,,405.5,416.1,0.0,824.7,3424.9,2600.3,2.0,0.98,68.2,0.0,1.0,,2.66,,,,0.88,44.4,108.9,ct2-int8,1.0,12,36,43.631625012494624,221.21474996674806,194.9071250273846,stop,0,0.0,,2,en,es,replay,22,silence,replay_realtime,1313.3,487.8,2.3,0.0,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,4647936,4775424,48000,4753920,0
23,2026-09-09T20:45:58.931504,"That also means that if he is the savior, God is the God is the one who does the saving.","Eso también significa que si él es el salvador, Dios es el Dios que hace la salvación.",,166.0,784.9,0.0,952.3,8920.7,7968.4,0.1,0.98,52.7,0.0,1.0,,5.47,,,,0.72,127.9,176.8,ct2-int8,0.68,22,48,55.02779199741781,350.7287080283277,434.1653339797631,stop,0,0.0,,2,en,es,replay,23,smart_cut,replay_realtime,3494.1,2540.9,0.1,0.1,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,4835328,5097984,48000,5097984,0
24,2026-09-09T20:46:04.634790,"So his desire is that you be saved, but don't get it","Así que su deseo es que seas salvo, pero no lo consigas",,186.3,840.2,0.0,1181.7,9196.6,8014.9,0.1,0.98,39.5,0.0,1.0,,4.0,,,Y,0.48,145.0,191.3,ct2-int8,0.423,15,41,59.36091596959158,438.6438750079833,401.587207976263,stop,0,0.0,,2,en,es,replay,24,smart_cut,replay_realtime,5197.4,4014.9,0.3,0.0,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,5097984,5289984,48000,5289984,0
25,2026-09-09T20:46:05.325113,"You know, don't get it twisted and think that therefore you go and save yourself.","Sabes, no te equivoques y no pienses que por eso vas y te salvas.",,409.6,560.0,0.0,1169.3,5886.2,4716.9,10.9,0.99,66.1,0.0,0.85,,4.67,,,,0.53,99.1,580.8,ct2-int8,0.667,22,45,44.02379097882658,209.55154101829976,350.40270898025483,stop,0,0.0,,2,en,es,replay,25,silence,replay_realtime,1663.7,492.7,198.9,0.0,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,5289984,5514240,48000,5492736,0
26,2026-09-09T20:46:10.207315,God is the savior. He does all the saving.,Dios es el salvador. Él hace todo el salvación.,,895.7,530.2,0.0,1482.0,5128.5,3646.5,7.0,0.98,61.4,0.0,1.0,,3.65,,,,0.64,73.1,598.3,ct2-int8,0.7,14,37,57.882292021531605,283.63108402118087,246.59208301454782,stop,0,0.0,,2,en,es,replay,26,silence,replay_realtime,1969.9,487.1,8.3,0.0,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,5558784,5733888,48000,5712384,0
27,2026-09-09T20:46:18.060594,"And we're gonna look at here in a second what it is that God does, what he has done","Y vamos a ver aquí en un segundo lo que hace Dios, lo que ha hecho",,188.3,823.9,0.0,1014.0,8441.7,7427.7,0.1,0.99,46.5,0.0,0.85,,6.14,,,,0.52,96.4,166.4,ct2-int8,0.65,18,48,62.282583967316896,418.49625000031665,405.44624999165535,stop,0,0.0,,2,en,es,replay,27,smart_cut,replay_realtime,2879.1,1864.3,0.2,0.1,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,5750784,6045696,48000,6045696,0
28,2026-09-09T20:46:19.992839,to accomplish salvation for you and for me.,para lograr la salvación para ti y para mí.,,387.5,437.1,0.0,830.7,4810.7,3979.9,5.0,0.99,64.2,0.0,1.0,,3.94,,,,1.0,50.8,114.0,ct2-int8,1.0,12,35,46.46583297289908,231.20854195440188,205.85475000552833,stop,0,0.0,,2,en,es,replay,28,silence,replay_realtime,1323.4,491.8,5.1,0.0,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,6045696,6234624,48000,6213120,0
29,2026-09-09T20:46:29.380178,Salvation really only occurs when when God does something that is completely outside of our ability to do.,La salvación realmente solo ocurre cuando Dios hace algo que está completamente fuera de nuestra capacidad de hacerlo.,,196.9,1186.5,0.0,1385.8,9355.4,7969.6,0.1,0.99,48.9,0.0,1.0,,7.87,,,,0.83,76.8,199.5,ct2-int8,0.938,21,46,55.9448340209201,736.8185839732178,449.6390409767628,stop,0,0.0,,2,en,es,replay,29,smart_cut,replay_realtime,1526.7,138.7,0.2,0.0,2.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,6276096,6653952,48000,6653952,0
30,2026-09-09T20:46:31.628706,Otherwise we wouldn't need to be saved.,De lo contrario no necesitaríamos ser salvados.,,455.7,36.1,0.0,497.9,3774.3,3276.4,5.7,0.99,0.0,0.0,1.0,,2.75,,,,1.0,42.9,260.0,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,30,silence,replay_realtime,991.1,492.3,5.9,0.0,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,6653952,6809088,48000,6787584,0
31,2026-09-09T20:46:38.734985,"If salvation was something we could do, then we wouldn't be in need of rescue.","Si la salvación fuera algo que pudiéramos hacer, no necesitaríamos rescate.",,1002.0,615.3,0.0,1622.0,7209.4,5587.4,2.6,0.99,55.5,0.0,1.0,,5.6,,,,0.77,68.5,140.4,ct2-int8,0.833,19,45,48.94691699882969,251.96324998978525,363.3703750092536,stop,0,0.0,,2,en,es,replay,31,silence,replay_realtime,2110.2,486.5,2.7,0.1,1.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,6827520,7096320,48000,7074816,0
32,2026-09-09T20:46:40.147256,And so for my,Y así por mi,,379.3,32.5,0.0,413.5,1823.0,1409.5,1.3,0.95,0.0,0.0,1.0,,1.6,,,Y,0.33,18.6,113.2,ct2-int8,0.5,,,,,,,,,,2,en,es,replay,32,silence,replay_realtime,898.0,484.4,1.4,0.0,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,7145472,7200000,48000,7200000,22272
