chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path
11,2026-09-09T20:26:21.695874,Uh and also,Uh y también,,98.1,24.3,0.0,125.3,8096.7,7971.4,0.1,0.93,0.0,0.0,1.0,,1.18,,,,0.1,135.4,192.9,ct2-int8,0.08,,,,,,,,,,2,en,es,replay,11,smart_cut,replay_realtime,6954.1,6828.6,0.2,0.1,0.2,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
12,2026-09-09T20:26:25.226636,"Um th neither of these guys kept the law, but one of them uh woke up with God and the other one woke up with the devil.","Ninguno de estos tipos respetó la ley, pero uno de ellos se despertó con Dios y el otro se despertó con el diablo.",,241.6,2228.3,0.0,2481.2,10483.8,8002.6,0.1,0.98,29.3,0.0,1.0,,6.82,,,,0.89,115.8,200.7,ct2-int8,0.957,31,55,175.16566702397537,1146.7562920297496,1081.5685829729773,stop,0,0.0,,2,en,es,replay,12,smart_cut,replay_realtime,3668.9,1186.5,0.2,0.0,1.2,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
13,2026-09-09T20:26:26.380100,"I want to ask again, are you saved? Um","Quiero preguntar de nuevo, ¿estás salvado? Um",,251.7,820.3,0.0,1611.2,4821.8,3210.6,4.6,0.98,30.9,0.0,1.0,,3.17,,,,0.86,45.2,230.6,ct2-int8,1.0,14,37,120.46241702046245,346.24462499050424,474.0097500034608,stop,0,0.0,,2,en,es,replay,13,silence,replay_realtime,2102.4,490.6,97.8,296.3,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
14,2026-09-09T20:26:34.757674,They were both sinners. That is w uh very that that is very uh clear clear to see. I mean these guys,"Ambos eran pecadores. Eso es muy muy claro de ver. Quiero decir, estos tipos",,200.3,1670.1,0.0,1930.9,9891.5,7960.6,0.1,0.98,33.8,0.0,0.85,,5.66,,,,0.43,90.3,210.4,ct2-int8,0.529,20,50,143.7570410198532,1041.5538749657571,628.5483330138959,stop,0,0.0,,2,en,es,replay,14,smart_cut,replay_realtime,4272.2,2340.2,0.3,48.3,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
15,2026-09-09T20:26:39.762913,clearly weren't I mean they're they were being crucified and that is um,"claramente no, quiero decir, estaban siendo crucificados y eso es um",,241.8,1019.8,0.0,1268.7,9275.7,8006.9,0.1,0.99,30.4,0.0,1.0,,4.29,,,,0.27,121.8,199.7,ct2-int8,0.318,16,43,144.6301669930108,470.24125000461936,549.6058749849908,stop,0,0.0,,2,en,es,replay,15,smart_cut,replay_realtime,4989.5,3718.9,0.2,0.0,1.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
16,2026-09-09T20:26:44.580047,uh the most brutal way uh a man uh an any person can uh can be put to death. And yet these were these guys were both sinners,"uh la forma más brutal uh en que un hombre uh cualquier persona puede ser puto a muerte. Y sin embargo, estos tipos eran ambos pecadores",,242.0,1550.9,0.0,1801.0,9805.3,8004.3,0.1,0.97,30.2,0.0,1.0,,6.5,,,,0.19,49.6,195.4,ct2-int8,0.625,31,55,167.4194579827599,501.1100000119768,1049.810125026852,stop,0,0.0,,2,en,es,replay,16,smart_cut,replay_realtime,3310.8,1508.2,0.3,0.0,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
17,2026-09-09T20:26:48.505535,"But uh one of them woke up in heaven and the other one woke up in hell. Let me ask you again, are you saved?","Pero eh uno de ellos despertó en el cielo y el otro despertó en el infierno. Déjame preguntarte de nuevo, ¿estás salvado?",,535.7,1514.6,0.0,2068.6,7235.1,5166.5,13.6,0.99,30.8,0.0,1.0,,5.12,,,,0.61,83.7,171.9,ct2-int8,0.882,35,54,170.0538750155829,356.7130829906091,1157.8377920086496,stop,0,0.0,,2,en,es,replay,17,silence,replay_realtime,2564.4,494.4,13.8,0.0,1.2,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
18,2026-09-09T20:26:57.032227,I I just want you to to to think about that because you have these two men who are similar but also different. And,Solo quiero que pienses en eso porque tienes a estos dos hombres que son similares pero también diferentes. Y,,1803.9,1036.8,0.0,3102.0,10200.3,7098.3,104.8,0.98,30.4,0.0,1.0,,7.36,,,Y,0.75,84.2,156.9,ct2-int8,0.889,22,51,117.16495803557336,289.3564169644378,747.4319160101004,stop,0,0.0,,2,en,es,replay,18,silence,replay_realtime,3603.2,498.9,112.3,140.2,2.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
19,2026-09-09T20:27:03.949600,Uh one of them ended up in paradise and the other one ended up in uh torment.,Uno de ellos terminó en el paraíso y el otro terminó en tormento.,,164.0,1690.2,0.0,1935.3,9902.3,7966.9,0.1,0.98,32.2,0.0,0.85,,4.83,,,,0.83,82.0,179.3,ct2-int8,0.812,17,44,143.57570797437802,1124.126500042621,566.0382919595577,stop,0,0.0,,2,en,es,replay,19,smart_cut,replay_realtime,5112.8,3175.6,0.2,72.7,1.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
20,2026-09-09T20:27:09.005754,"Are you saved? And you might be thinking, well, I'm not like these two men. Well you you are. You are. Um whether you want to uh admit it or not.","¿Estás salvado? Y quizás estés pensando, bueno, yo no soy como estos dos hombres. Bueno, tú lo eres. Tú lo eres. Um, ya sea que quieras admitirlo o no.",,201.6,1941.0,0.0,2155.7,10167.3,8011.6,5.2,0.97,29.1,0.0,1.0,,8.0,,,,0.37,402.1,176.6,ct2-int8,0.181,43,66,158.5739579750225,439.899165998213,1501.0564170079306,stop,0,0.0,,2,en,es,replay,20,hard_cut,replay_realtime,2169.0,11.6,5.3,0.0,1.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
21,2026-09-09T20:27:17.185564,"We we are all like these two men. Obviously, you know, I hope anyone hasn't I hope no one's committed murder. Um and if you do then uh","Todos somos como estos dos hombres. Obviamente, ya sabes, espero que nadie haya cometido asesinato. Um y si lo haces, entonces eh",,336.5,1995.4,0.0,2341.9,10302.1,7960.2,0.1,0.98,29.6,0.0,1.0,,7.65,,,,0.3,55.9,647.7,ct2-int8,0.875,29,62,182.08233400946483,993.6593330348842,1001.7401250079274,stop,0,0.0,,2,en,es,replay,21,smart_cut,replay_realtime,2701.0,357.2,0.3,0.0,1.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
22,2026-09-09T20:27:20.163993,You should probably go turn yourself in. Um,Probablemente deberías entregarte. Um,,505.9,623.0,0.0,1161.8,5678.8,4517.0,7.0,0.98,34.3,0.0,0.85,,3.97,,,,0.75,28.6,123.9,ct2-int8,1.0,9,35,163.84533297969028,340.4187500127591,282.5651249731891,stop,0,0.0,,2,en,es,replay,22,silence,replay_realtime,1647.5,484.9,7.2,0.0,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
23,2026-09-09T20:27:29.842293,"But I hope no one has, you know, committed murder. You know, again, like I said, it doesn't matter what kind of sin you've committed, we've all sinned, whether that's","Pero espero que nadie haya, ya sabes, cometido asesinato. Ya sabes, de nuevo, como dije, no importa qué tipo de pecado hayas cometido, todos hemos pecado, ya sea que sea",,251.9,2444.6,0.0,2707.3,10416.1,7708.9,0.1,0.98,30.2,0.0,1.0,,6.85,,,,0.61,153.4,217.3,ct2-int8,0.714,39,72,157.79216698138043,1126.1702500050887,1318.3905420009978,stop,0,0.0,,2,en,es,replay,23,smart_cut,replay_realtime,3870.1,1159.0,0.3,0.5,3.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
24,2026-09-09T20:27:36.017484,taking something that you shouldn't have or uh you know maybe stealing candy,"tomar algo que no deberías o eh ya sabes, tal vez robar dulces",,454.2,1479.7,0.0,2028.9,10043.9,8015.0,0.1,0.99,30.3,0.0,0.85,,4.06,,,,0.48,134.8,203.6,ct2-int8,0.462,18,41,142.05283299088478,858.720334013924,620.9642079775222,stop,0,0.0,,2,en,es,replay,24,smart_cut,replay_realtime,5981.5,3950.9,0.6,88.2,1.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
25,2026-09-09T20:27:40.163146,Or um uh lying to your mom whenever she tells you to do something and you say you do it. Um that is we we are all we are all sinners.,"O um eh mentirle a tu mamá cada vez que te dice que hagas algo y dices que lo haces. Um eso es nosotros, todos somos pecadores.",,709.8,1420.3,0.0,2144.6,10125.7,7981.2,10.3,0.99,30.5,0.0,1.0,,7.94,,,,0.46,80.9,183.5,ct2-int8,0.778,34,59,114.83720899559557,284.31004198500887,1136.0333330230787,stop,0,0.0,,2,en,es,replay,25,silence,replay_realtime,2639.1,493.0,10.6,0.0,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
26,2026-09-09T20:27:44.052088,Um and these two and in in these two where we're paying for,Um y estos dos y en en estos dos donde estamos pagando por,,461.2,731.2,0.0,1234.4,5136.4,3902.0,6.8,0.96,36.2,0.0,1.0,,4.06,,,Y,0.78,51.2,172.8,ct2-int8,1.0,15,41,114.17687498033047,291.0680419881828,440.1007080450654,stop,0,0.0,,2,en,es,replay,26,silence,replay_realtime,1728.2,491.9,7.1,0.3,1.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
