chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples
11,2026-09-09T20:36:59.338983,Uh and also,Uh y también,,162.7,93.0,0.0,260.4,8243.0,7982.6,1.1,0.93,0.0,0.0,1.0,,1.18,,,,0.1,111.7,240.6,ct2-int8,0.08,,,,,,,,,,2,en,es,replay,11,smart_cut,replay_realtime,7093.7,6832.8,1.6,0.1,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2939904,2996736,48000,2996736,0
12,2026-09-09T20:37:16.311863,"Um th neither of these guys kept the law, but one of them uh woke up with God and the other one woke up with the devil.","Ninguno de estos tipos respetó la ley, pero uno de ellos se despertó con Dios y el otro se despertó con el diablo.",,471.5,15447.4,0.0,16042.9,24065.2,8022.3,1.1,0.98,30.6,0.0,1.0,,6.82,,,,0.89,549.7,336.2,ct2-int8,0.957,31,55,9857.28699999163,14404.811375017744,1042.603624984622,stop,0,0.0,,2,en,es,replay,12,smart_cut,replay_realtime,17250.6,1205.6,2.1,0.0,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2996736,3323904,48000,3323904,0
13,2026-09-09T20:37:17.972805,"I want to ask again, are you saved? Um","Quiero preguntar de nuevo, ¿estás salvado? Um",,265.0,1004.9,0.0,12437.5,18910.1,6472.7,9.4,0.98,25.0,0.0,1.0,,3.17,,,,0.33,69.6,324.5,ct2-int8,0.6,14,37,220.05358297610655,418.73020795173943,586.1932500265539,stop,0,0.0,,2,en,es,replay,13,silence,replay_realtime,16191.5,3752.5,9764.6,1392.3,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3323904,3475968,48000,3454464,0
14,2026-09-09T20:37:19.603294,They were both sinners. That is w uh very that that is very uh clear clear to see. I mean these guys,"Ambos eran pecadores. Eso es muy muy claro de ver. Quiero decir, estos tipos",,654.9,1549.9,0.0,9257.3,14057.6,4800.3,5219.4,0.98,20.2,0.0,0.85,,5.66,,,,0.25,72.3,506.7,ct2-int8,0.286,20,50,160.3485830128193,528.3268749481067,1021.5912080020644,stop,0,0.0,,2,en,es,replay,14,smart_cut,replay_realtime,11614.0,2355.6,5956.8,1060.6,1.0,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3480576,3752448,48000,3752448,0
15,2026-09-09T20:37:20.758843,clearly weren't I mean they're they were being crucified and that is um,"claramente no, quiero decir, estaban siendo crucificados y eso es um",,354.8,1137.8,0.0,4764.0,12768.3,8004.2,963.7,0.99,25.0,0.0,1.0,,4.29,,,,0.05,110.9,728.4,ct2-int8,0.071,16,43,225.2792909857817,474.62449996965006,663.2031670305878,stop,0,0.0,,2,en,es,replay,15,smart_cut,replay_realtime,8481.5,3716.2,1232.3,2021.0,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3752448,3958272,48000,3958272,0
16,2026-09-09T20:37:22.617206,uh the most brutal way uh a man uh an any person can uh can be put to death. And yet these were these guys were both sinners,"uh la forma más brutal uh en que un hombre uh cualquier persona puede ser puto a muerte. Y sin embargo, estos tipos eran ambos pecadores",,545.7,1626.0,0.0,2330.8,10338.5,8007.7,0.1,0.97,25.8,0.0,1.0,,6.5,,,,0.06,105.9,359.6,ct2-int8,0.118,31,55,151.35708398884162,396.30016597220674,1229.6983749838546,stop,0,0.0,,2,en,es,replay,16,smart_cut,replay_realtime,3843.9,1511.7,127.7,0.2,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3958272,4270080,48000,4270080,0
17,2026-09-09T20:37:27.789916,"But uh one of them woke up in heaven and the other one woke up in hell. Let me ask you again, are you saved?","Pero eh uno de ellos despertó en el cielo y el otro despertó en el infierno. Déjame preguntarte de nuevo, ¿estás salvado?",,2169.3,1668.1,0.0,3856.5,9015.4,5158.9,10.9,0.99,27.0,0.0,1.0,,5.12,,,,0.61,67.6,220.9,ct2-int8,0.882,35,54,123.4021249692887,332.8997500357218,1335.1758749922737,stop,0,0.0,,2,en,es,replay,17,silence,replay_realtime,4344.6,486.7,11.0,0.1,1.2,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,4270080,4515840,48000,4494336,0
18,2026-09-09T20:37:33.876422,I I just want you to to to think about that because you have these two men who are similar but also different. And,Solo quiero que pienses en eso porque tienes a estos dos hombres que son similares pero también diferentes. Y,,1206.8,1106.5,0.0,2454.0,7964.5,5510.5,5.9,0.98,28.8,0.0,1.0,,7.36,,,Y,0.75,58.9,398.0,ct2-int8,0.889,22,51,117.44054197333753,320.5691250041127,785.9067920362577,stop,0,0.0,,2,en,es,replay,18,silence,replay_realtime,2943.1,487.4,6.0,100.6,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,4521984,4875264,48000,4853760,0
19,2026-09-09T20:37:41.530602,Uh one of them ended up in paradise and the other one ended up in uh torment.,Uno de ellos terminó en el paraíso y el otro terminó en tormento.,,166.4,1765.4,0.0,2011.4,9981.4,7970.0,0.1,0.98,29.2,0.0,0.85,,4.83,,,,0.83,91.4,191.5,ct2-int8,0.812,17,44,145.42858401546255,1150.1438340055756,615.2972080162726,stop,0,0.0,,2,en,es,replay,19,smart_cut,replay_realtime,5189.2,3176.5,0.2,67.2,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,4881408,5113344,48000,5113344,0
20,2026-09-09T20:37:46.656133,"Are you saved? And you might be thinking, well, I'm not like these two men. Well you you are. You are. Um whether you want to uh admit it or not.","¿Estás salvado? Y quizás estés pensando, bueno, yo no soy como estos dos hombres. Bueno, tú lo eres. Tú lo eres. Um, ya sea que quieras admitirlo o no.",,211.7,2070.2,0.0,2308.3,10312.8,8004.5,7.2,0.97,28.2,0.0,1.0,,8.0,,,,0.37,475.0,177.8,ct2-int8,0.181,43,66,205.8761249645613,522.4603749811649,1547.7091670036316,stop,0,0.0,,2,en,es,replay,20,hard_cut,replay_realtime,2314.8,4.5,10.8,0.1,2.0,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,5113344,5497344,48000,5497344,0
21,2026-09-09T20:37:54.847756,"We we are all like these two men. Obviously, you know, I hope anyone hasn't I hope no one's committed murder. Um and if you do then uh","Todos somos como estos dos hombres. Obviamente, ya sabes, espero que nadie haya cometido asesinato. Um y si lo haces, entonces eh",,275.0,2200.1,0.0,2494.3,10469.7,7975.4,0.3,0.98,29.7,0.0,1.0,,7.65,,,,0.3,42.4,206.6,ct2-int8,0.875,29,62,190.22424996364862,1200.7266249856912,999.3939159903675,stop,0,0.0,,2,en,es,replay,21,smart_cut,replay_realtime,2858.4,362.3,0.6,0.1,1.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,5497344,5864448,48000,5864448,0
22,2026-09-09T20:37:57.751663,You should probably go turn yourself in. Um,Probablemente deberías entregarte. Um,,543.7,665.4,0.0,1243.2,5761.5,4518.2,4.2,0.98,32.3,0.0,0.85,,3.97,,,,0.75,22.0,237.6,ct2-int8,1.0,9,35,173.4984579961747,364.6360420389101,300.7635829853825,stop,0,0.0,,2,en,es,replay,22,silence,replay_realtime,1730.3,486.2,4.3,0.0,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,5864448,6079488,48000,6057984,0
23,2026-09-09T20:38:07.505915,"But I hope no one has, you know, committed murder. You know, again, like I said, it doesn't matter what kind of sin you've committed, we've all sinned, whether that's","Pero espero que nadie haya, ya sabes, cometido asesinato. Ya sabes, de nuevo, como dije, no importa qué tipo de pecado hayas cometido, todos hemos pecado, ya sea que sea",,277.1,2576.0,0.0,2866.2,10540.2,7673.9,0.1,0.98,27.7,0.0,1.0,,6.85,,,,0.61,115.4,235.9,ct2-int8,0.714,39,72,160.2922499878332,1139.0349579742178,1436.9301249971613,stop,0,0.0,,2,en,es,replay,23,smart_cut,replay_realtime,4028.5,1159.5,0.2,0.1,2.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,6087168,6415872,48000,6415872,0
24,2026-09-09T20:38:13.576830,taking something that you shouldn't have or uh you know maybe stealing candy,"tomar algo que no deberías o eh ya sabes, tal vez robar dulces",,237.6,1840.1,0.0,2089.9,10097.5,8007.6,0.1,0.99,23.8,0.0,0.85,,4.06,,,,0.48,147.6,673.1,ct2-int8,0.462,18,41,215.47004196327183,1035.9549170243554,804.1532909846865,stop,0,0.0,,2,en,es,replay,24,smart_cut,replay_realtime,6035.4,3943.6,0.3,0.1,1.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,6415872,6610944,48000,6610944,0
25,2026-09-09T20:38:17.693696,Or um uh lying to your mom whenever she tells you to do something and you say you do it. Um that is we we are all we are all sinners.,"O um eh mentirle a tu mamá cada vez que te dice que hagas algo y dices que lo haces. Um eso es nosotros, todos somos pecadores.",,639.9,1511.5,0.0,2175.4,10151.0,7975.6,14.8,0.99,28.6,0.0,1.0,,7.94,,,,0.46,219.3,333.3,ct2-int8,0.778,34,59,119.07041701488197,301.71658302424476,1209.741041995585,stop,0,0.0,,2,en,es,replay,25,silence,replay_realtime,2664.3,487.4,15.0,0.1,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,6610944,6991872,48000,6970368,0
26,2026-09-09T20:38:21.627867,Um and these two and in in these two where we're paying for,Um y estos dos y en en estos dos donde estamos pagando por,,494.7,762.2,0.0,1307.3,5259.1,3951.9,4.9,0.96,34.2,0.0,1.0,,4.06,,,Y,0.78,35.4,133.0,ct2-int8,1.0,15,41,116.4853330119513,302.5191249907948,459.7010840079747,stop,0,0.0,,2,en,es,replay,26,silence,replay_realtime,1814.4,505.9,5.1,0.0,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,7027200,7200000,48000,7200000,22272
