chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples
11,2026-09-09T20:39:46.152336,Uh and also,Uh y también,,103.8,29.6,0.0,136.8,8042.8,7906.0,0.6,0.93,0.0,0.0,1.0,,1.18,,,,0.1,135.5,207.1,ct2-int8,0.08,,,,,,,,,,2,en,es,replay,11,smart_cut,replay_realtime,6963.9,6826.8,0.7,0.1,0.3,0.1,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2939904,2996736,48000,2996736,0
12,2026-09-09T20:39:48.906150,"Um th neither of these guys kept the law, but one of them uh woke up with God and the other one woke up with the devil.","Uno de esos dos no respetaba la ley, pero uno de ellos se despertó con Dios y el otro se despertó con el diablo.",,240.2,1458.2,0.0,1708.6,9716.6,8007.9,0.1,0.98,50.4,0.0,1.0,,6.82,,,,0.64,121.4,242.6,ct2-int8,0.826,31,55,106.31329100579022,824.8745829914697,633.3483339985833,stop,0,0.0,,2,en,es,replay,12,smart_cut,replay_realtime,2901.6,1191.9,0.4,0.0,1.0,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2996736,3323904,48000,3323904,0
13,2026-09-09T20:39:50.061018,"I want to ask again, are you saved? Um","Quiero preguntar de nuevo, ¿estás guardado? Um",,315.7,527.5,0.0,849.9,4056.0,3206.1,5.3,0.98,51.6,0.0,1.0,,3.17,,,,0.62,45.3,107.8,ct2-int8,0.833,14,37,44.72933296347037,236.1099169938825,291.4278749958612,stop,0,0.0,,2,en,es,replay,13,silence,replay_realtime,1336.5,486.1,5.4,0.0,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3323904,3475968,48000,3454464,0
14,2026-09-09T20:39:58.589831,They were both sinners. That is w uh very that that is very uh clear clear to see. I mean these guys,"Ambos eran pecadores. Eso es muy muy claro de ver. Quiero decir, estos tipos",,245.2,966.9,0.0,1305.3,9121.4,7816.1,0.1,0.98,58.5,0.0,0.85,,5.66,,,,0.43,69.0,270.6,ct2-int8,0.529,20,50,71.01037498796359,598.705125041306,368.1963749695569,stop,0,0.0,,2,en,es,replay,14,smart_cut,replay_realtime,3657.3,2350.6,0.4,88.1,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3480576,3752448,48000,3752448,0
15,2026-09-09T20:40:04.149608,clearly weren't I mean they're they were being crucified and that is um,"claramente no, quiero decir que estaban siendo crucificados y eso es um",,231.3,974.4,0.0,1206.9,9215.9,8009.0,0.1,0.99,55.2,0.0,1.0,,4.29,,,,0.36,160.4,709.2,ct2-int8,0.409,16,43,110.99825002020225,667.3018749570474,307.0770420017652,stop,0,0.0,,2,en,es,replay,15,smart_cut,replay_realtime,4929.1,3720.9,0.2,0.1,1.2,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3752448,3958272,48000,3958272,0
16,2026-09-09T20:40:08.455455,uh the most brutal way uh a man uh an any person can uh can be put to death. And yet these were these guys were both sinners,"uh la forma más brutal uh un hombre uh cualquier persona puede uh ser puesto a muerte. Y sin embargo, estos eran estos tipos eran ambos pecadores",,254.2,967.1,0.0,1224.1,9233.3,8009.2,0.2,0.97,55.1,0.0,1.0,,6.5,,,,0.2,51.1,193.3,ct2-int8,0.625,31,55,49.226833041757345,385.58612496126443,581.5562499919906,stop,0,0.0,,2,en,es,replay,16,smart_cut,replay_realtime,2738.9,1513.0,0.6,0.0,1.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,3958272,4270080,48000,4270080,0
17,2026-09-09T20:40:12.205842,"But uh one of them woke up in heaven and the other one woke up in hell. Let me ask you again, are you saved?","Pero eh uno de ellos se despertó en el cielo y el otro se despertó en el infierno. Déjame preguntarte de nuevo, ¿estás salvo?",,447.7,868.4,0.0,1331.5,6488.2,5156.7,14.0,0.99,57.1,0.0,1.0,,5.12,,,,0.67,87.8,176.0,ct2-int8,1.0,36,54,45.196666964329786,218.27520796796307,650.1730420277454,stop,0,0.0,,2,en,es,replay,17,silence,replay_realtime,1817.3,484.6,14.2,0.0,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,4270080,4515840,48000,4494336,0
18,2026-09-09T20:40:19.508829,I I just want you to to to think about that because you have these two men who are similar but also different. And,Solo quiero que pienses en eso porque tienes estos dos hombres que son similares pero también diferentes. Y,,523.6,615.4,0.0,1143.1,8281.2,7138.0,2.7,0.98,63.6,0.0,1.0,,7.36,,,Y,0.79,77.1,151.0,ct2-int8,0.889,21,51,95.34866700414568,268.41770799364895,347.0066249719821,stop,0,0.0,,2,en,es,replay,18,silence,replay_realtime,1632.3,487.5,3.0,0.0,1.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,4521984,4875264,48000,4853760,0
19,2026-09-09T20:40:27.953336,Uh one of them ended up in paradise and the other one ended up in uh torment.,Uno de ellos terminó en el paraíso y el otro terminó en el tormento.,,219.7,1175.8,0.0,1489.7,9465.5,7975.8,0.7,0.98,45.4,0.0,0.85,,4.83,,,,0.83,124.0,259.0,ct2-int8,0.875,18,44,74.21620801324025,761.691499967128,414.0594160417095,stop,0,0.0,,2,en,es,replay,19,smart_cut,replay_realtime,4668.7,3177.4,0.9,86.9,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,4881408,5113344,48000,5113344,0
20,2026-09-09T20:40:33.264146,"Are you saved? And you might be thinking, well, I'm not like these two men. Well you you are. You are. Um whether you want to uh admit it or not.","¿Estás salvo? Y podrías estar pensando, bueno, no soy como estos dos hombres. Bueno, tú lo eres. Lo eres. Eh, ya sea que quieras admitirlo o no.",,290.6,1624.5,0.0,1972.6,9978.2,8005.6,53.8,0.97,53.9,0.0,1.0,,8.0,,,,0.38,77.9,217.6,ct2-int8,0.579,41,66,118.90254099853338,840.1604589889757,784.3862500158139,stop,0,0.0,,2,en,es,replay,20,hard_cut,replay_realtime,1979.5,5.5,54.3,0.1,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,5113344,5497344,48000,5497344,0
21,2026-09-09T20:40:40.904606,"We we are all like these two men. Obviously, you know, I hope anyone hasn't I hope no one's committed murder. Um and if you do then uh","Todos somos como estos dos hombres. Obviamente, ya sabes, espero que nadie haya cometido asesinato. Eh y si lo haces entonces eh",,246.9,1363.3,0.0,1614.3,9508.3,7894.0,0.1,0.98,52.0,0.0,1.0,,7.65,,,,0.32,55.8,214.4,ct2-int8,0.875,28,62,102.4749999633059,801.9928330322728,561.3323340076022,stop,0,0.0,,2,en,es,replay,21,smart_cut,replay_realtime,1972.0,356.1,0.3,0.1,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,5497344,5864448,48000,5864448,0
22,2026-09-09T20:40:44.367174,You should probably go turn yourself in. Um,Probablemente deberías ir a entregarte. Um,,441.7,461.1,0.0,912.5,5433.8,4521.3,8.4,0.98,49.1,0.0,1.0,,3.97,,,,0.5,31.6,138.0,ct2-int8,1.0,11,35,44.55412505194545,219.46979104541242,241.62991699995473,stop,0,0.0,,2,en,es,replay,22,silence,replay_realtime,1402.6,489.2,8.7,0.0,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,5864448,6079488,48000,6057984,0
23,2026-09-09T20:40:53.610905,"But I hope no one has, you know, committed murder. You know, again, like I said, it doesn't matter what kind of sin you've committed, we've all sinned, whether that's","Pero espero que nadie haya cometido asesinato. Sabes, de nuevo, como dije, no importa qué tipo de pecado hayas cometido, todos hemos pecado, ya sea",,718.8,1304.8,0.0,2026.5,9781.3,7754.7,0.1,0.98,55.6,0.0,0.85,,6.85,,,,0.67,213.1,230.8,ct2-int8,0.679,33,72,67.64841597760096,691.1956669646315,613.5849580168724,stop,0,0.0,,2,en,es,replay,23,smart_cut,replay_realtime,3190.3,1161.1,0.2,0.0,2.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,6087168,6415872,48000,6415872,0
24,2026-09-09T20:40:59.319909,taking something that you shouldn't have or uh you know maybe stealing candy,"tomar algo que no deberías o eh ya sabes, tal vez robar dulces",,152.0,712.0,0.0,893.8,8897.7,8003.9,0.1,0.99,58.5,0.0,0.85,,4.06,,,,0.48,121.3,194.7,ct2-int8,0.462,18,41,58.02587501239032,387.8440409898758,324.15495900204405,stop,0,0.0,,2,en,es,replay,24,smart_cut,replay_realtime,4835.3,3939.9,0.2,25.9,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,6415872,6610944,48000,6610944,0
25,2026-09-09T20:41:04.572348,Or um uh lying to your mom whenever she tells you to do something and you say you do it. Um that is we we are all we are all sinners.,"O um eh mentirle a tu mamá cada vez que te dice que hagas algo y tú dices que lo haces. Um eso es nosotros, todos somos pecadores.",,906.1,957.7,0.0,2082.2,10086.5,8004.4,168.0,0.99,54.1,0.0,1.0,,7.94,,,,0.45,83.1,209.0,ct2-int8,0.778,35,59,99.93708296678962,293.5216669575311,664.2055420088582,stop,0,0.0,,2,en,es,replay,25,silence,replay_realtime,2599.7,516.1,168.8,0.1,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,6610944,6991872,48000,6970368,0
26,2026-09-09T20:41:08.242116,Um and these two and in in these two where we're paying for,Um y estos dos y en estos dos por los que estamos pagando,,406.7,567.6,0.0,979.8,4687.0,3707.3,4.4,0.96,60.5,0.0,1.0,,4.06,,,Y,0.55,37.5,119.7,ct2-int8,0.9,15,41,46.26612499123439,302.0850000320934,265.5278340098448,stop,0,0.0,,2,en,es,replay,26,silence,replay_realtime,1469.5,488.4,4.6,0.0,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,7027200,7200000,48000,7200000,22272
